channel_name,subscribers,category,views_counts,video_count,started_year,revenue
CarryisLive,12000000,Gaming,1578695522,1005,2017,39467388.0
Sanjay Dey,1180000,Entertainment,1577521241,4186,2022,39438031.0
GMJ  Global Music Junction  Bhojpuri,5450000,Music,1575894167,488,2017,39397354.0
Malik Fitness Vlog,3150000,,1575709132,2802,2021,39392728.0
Suyash Fashion,2050000,Howto & Style,1574406999,745,2016,39360175.0
MostlySane,7090000,Comedy,1573667494,1300,2015,39341687.0
SuperHit Gaane,3990000,Music,1569509974,2242,2021,39237749.0
Hakson Pro Gaming,8350000,Gaming,1569397818,984,2017,39234945.0
THE ROTT,2890000,Pets & Animals,1568411946,398,2019,39210299.0
King,6250000,Music,1566759821,135,2012,39168996.0
Mahaa News,1780000,News & Politics,1565653138,216143,2014,39141328.0
Yippi Gaming,4790000,Gaming,1562779062,931,2020,39069477.0
Satyajeet Jena Official,9270000,Music,1561916346,153,2014,39047909.0
Gunjan Singh Entertainment,3730000,,1559248036,238,2018,38981201.0
Sadhguru,11600000,Howto & Style,1556382003,3156,2007,38909550.0
HyperXAbhyuday,1030000,Gaming,1554387468,1379,2020,38859687.0
The Quint,3750000,Entertainment,1552946138,37055,2014,38823653.0
Sach Talks,7600000,,1552395255,2237,2018,38809881.0
Comedy Captain,12500000,Comedy,1550290790,3056,2016,38757270.0
Bharatiya Janata Party,5020000,News & Politics,1548421836,37350,2010,38710546.0
Chill Pannu Maapi,3480000,Entertainment,1544802618,756,2020,38620065.0
B4U Movies,6160000,Film & Animation,1542744439,765,2011,38568611.0
Coke Studio India,5560000,Entertainment,1538301265,680,2011,38457532.0
Yashi Music,5050000,Music,1535290523,3301,2017,38382263.0
Boldsky,5610000,Howto & Style,1535066015,45664,2015,38376650.0
Classic Mini Food,2450000,Howto & Style,1533327811,840,2020,38333195.0
SR Brothers,6030000,Entertainment,1532514763,55,2018,38312869.0
Ultra Marathi,3590000,Entertainment,1532024552,8461,2009,38300614.0
ROCK INDIAN GAMER,2580000,,1530319235,1953,2018,38257981.0
Riddhi thalassemia major girl,3910000,Entertainment,1529597144,599,2017,38239929.0
Oolfat,2240000,Comedy,1528028973,237,2013,38200724.0
DIL Music,4400000,Music,1527744694,79,2011,38193617.0
Sri Ganesh Videos,3120000,Entertainment,1524216765,1633,2013,38105419.0
AR Entertainments Movies,2770000,Entertainment,1521942029,5496,2014,38048551.0
Facts Dastan,4300000,,1521776951,517,2021,38044424.0
Majedar Kahaniya,5390000,Entertainment,1518233370,282,2017,37955834.0
Ganesh Videos,3760000,Film & Animation,1517199102,10610,2014,37929978.0
Ajay Chauhan,3570000,Entertainment,1517181266,512,2015,37929532.0
Kahani Har Ghar Ki,3210000,,1511127093,1570,2018,37778177.0
YesSmartyPie,5760000,Gaming,1510816791,884,2018,37770420.0
Hindustan Gamer,4030000,Gaming,1509807559,729,2015,37745189.0
SEPL VIDEO,4720000,Film & Animation,1508087715,11751,2012,37702193.0
Mr & Mrs Choudhary,4710000,People & Blogs,1507411224,1199,2013,37685281.0
The Viral Fever,12000000,Entertainment,1504637730,526,2011,37615943.0
Lehren Retro,3220000,Entertainment,1503141585,5498,2011,37578540.0
Mani Meraj Vines,8190000,,1502488635,50,2018,37562216.0
MadhurasRecipe Marathi,7180000,Howto & Style,1501794104,1537,2016,37544853.0
ANI News,3700000,News & Politics,1498877127,133172,2015,37471928.0
Shemaroo Kannada,3940000,Entertainment,1498834501,5335,2011,37470863.0
Onespot Gaming,3470000,Gaming,1497906895,2300,2016,37447672.0
Hairstyle Tutorial,1330000,Education,1496319128,1540,2020,37407978.0
Resty kamboj,1580000,Entertainment,1491985663,819,2014,37299642.0
Rkholic teena,3770000,People & Blogs,1489601415,375,2022,37240035.0
API Tamil Songs,2270000,Entertainment,1489236567,1791,2012,37230914.0
IMR Films,3340000,Entertainment,1488293936,1361,2014,37207348.0
Sarkari Foodie,1480000,People & Blogs,1485925443,387,2022,37148136.0
Vismai Food,3810000,Howto & Style,1482075727,1596,2016,37051893.0
Filmy Crazy,3470000,Entertainment,1481408095,5284,2018,37035202.0
Galatta Pink,1710000,Entertainment,1480799242,20241,2021,37019981.0
Danish5star,2960000,People & Blogs,1480750410,700,2019,37018760.0
Kannada Super Scenes,2580000,People & Blogs,1479787644,7841,2015,36994691.0
Sanjeev Kapoor Khazana,7370000,Howto & Style,1478655587,14162,2009,36966390.0
ALBUM CREATIONS,3070000,Entertainment,1478290291,569,2017,36957257.0
Pebbles live,4800000,Education,1477118162,5263,2013,36927954.0
News18 Odia,2560000,News & Politics,1472051534,190520,2015,36801288.0
BR Bhai,3490000,Entertainment,1471032326,1147,2016,36775808.0
Spice ASMR,3750000,Entertainment,1468012097,448,2017,36700302.0
shravani's kitchen,4060000,Howto & Style,1466902043,1407,2016,36672551.0
UnGraduate Gamer,8100000,Gaming,1461411794,1990,2018,36535295.0
Dear Sir,16600000,Education,1460022376,678,2016,36500559.0
satyamvideos,1990000,Music,1459660074,1833,2013,36491502.0
Jagriti Vishali Shorts,2010000,Entertainment,1457142986,568,2020,36428575.0
